102 ,06180101906,"DRONA PUBLIC, SCHOL"
103 ,06180101907,KENDRIYA VIDYALAYA AIR FORCE STATION
104 ,06180101910,VIVEKANAND ACEDEMY
105 ,06180101911,"SHANTI NIKETAN PUBLIC, SCHOOL"
106 ,06180101912,SHIV SHAKTI HIGH SCHOOL
107 ,06180101913,H.M. SR. SEC. SCHOOL
108 ,06180101914,GGSSS ARJUN NAGAR
109 ,06180101915,R.M.S SR. SEC SCHOOL
110 ,06180101916,"AAKASH PUBLIC, SCHOOL"
111 ,06180101917,SAINI PUBLIC SCHOOL
112 ,06180101919,HAPPY MODEL SR. SEC.
113 ,06180101920,SANTOSHI HIGH SCHOOL
114 ,06180101921,JANGIR BRAHMIM HIGH SCHOOL
115 ,06180101922,S.D. MEMORIAL HIGH SCHOOL
116 ,06180101923,ARYA ADARSH HIGH SCHOOL
117 ,06180101924,DAV PUBLIC SCHOOL SECTOR-14
118 ,06180101925,BLUE BELLS PUBLIC SCHOOL
119 ,06180101926,HERITAGE XPERIENTIAL LEARNING SCHOOL
120 ,06180101928,POLE STAR PUBLIC SCHOOL
121 ,06180101929,RISHI PUBLIC SCHOOL
122 ,06180101930,MARIGOLD SECONDARY SCHOOL
123 ,06180101931,JAI BHARTI HIGH SCHOOL
124 ,06180101932,VINAY HIGH SCHOOL
125 ,06180101933,NEW SHISHU KALYAN HIGH SCHOOL
126 ,06180102002,GGPS GURGAON VILLAGE
127 ,06180102003,SAK GGSSS GURGAON VILL
128 ,06180102004,GSSS GGN VILLAGE
129 ,06180102005,AVR PUBLIC SCHOOL
130 ,06180102006,GPS GURGAON VILLAGE
131 ,06180102007,LT. ATUL KATARYA MEMORIL SCHOOL
132 ,06180102008,"ISHU PUBLIC SCHOOL, GGN. VILL."
133 ,06180102009,MAHARISHI PUBLIC SCHOOL
134 ,06180102010,INTERNATIONAL DELHI PUBLIC SCHOOL
135 ,06180102011,Lord Krishna Public School
136 ,06180102012,SCR Model School
137 ,06180102025,Scholars pride public school
138 ,06180102101,GPS A S GARDEN
139 ,06180102102,ENTITY INTERNATIONAL SCHOOL
140 ,06180102301,GPS RAJENDERA PARK
141 ,06180102303,RAJIV GANDHI H/SCHOOL
142 ,06180102304,SANTRA DEVI MEMORIAL PUBLIC SCHOOL
143 ,06180102305,MAHARISHI VIDYA MANDIR SR. SEC.
144 ,06180102306,GURUGRAM HIGH SCHOOL
145 ,06180102309,GOLDEN VALLEY PUBLIC SCHOOL
146 ,06180102311,Suraj Memorial Public School
147 ,06180102313,SANSKAR BHARTI PUBLIC SCHOOL
148 ,06180102314,"EURO International school, sec-109,GGn."
149 ,06180102401,GPS BHIM GARH KHERI
150 ,06180102403,GSSS BHIMGARH KHERI
151 ,06180102404,"AARSHA INTERNATIONAL SCHOOL, ASHOK VIHAR, PH-III"
152 ,06180102405,SWAMI MATHURADASS PUBLIC SCHOOL BHIM VIHAR BHIMGARH KHERI PART-1
153 ,06180102501,GPS MOHAMMED HERI
154 ,06180102801,GPS PANWALA
155 ,06180102904,"S R PUBLIC SCHOOL, RAJENDRA PARK"
